Gene	Chip2_1cell_A3	Chip2_1cell_B3	Chip2_1cell_A4	Chip2_1cell_B4	Chip2_1cell_A5	Chip2_1cell_B5	Chip2_1cell_A6	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_B7	Chip2_3cells_A8	Chip2_3cells_B8	Chip2_3cells_A9	Chip2_3cells_B9	Chip2_11cells_A10	Chip2_11cells_B10	Chip2_11cells_A11	Chip2_11cells_B11	Chip2_11cells_A12	Chip2_11cells_B12
Gm13288	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	5	1	0
Ifna7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifna11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifna6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifna5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifna4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifna1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm49890	0	0	0	0	291	0	0	0	0	0	55	0	0	0	0	84	12	255	779	91
Mir31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34568	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	1	0	0	3	1
Wincr1	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12602	0	0	0	0	0	810	0	0	0	271	0	0	0	0	0	0	0	491	0	19
Mtap	0	4126	3021	2261	2797	1331	2418	3302	2683	4840	0	2995	2954	0	2002	3318	3145	2037	2980	2760
Gm26490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm12610	0	1	0	0	0	0	0	0	0	5	0	0	1	182	163	33	3	3	0	80
Cdkn2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrta1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12643	0	0	1	2	0	0	1	0	0	0	2	2	2	0	0	5	1	1	1	2
Elavl2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Izumo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tusc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	138	0	30	141
Gm31828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC115490053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12648	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	360	301	138	0
LOC115489886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caap1	0	0	0	1	0	8	30	0	0	0	65	339	0	0	554	60	497	101	569	493
Plaa	0	0	0	4016	1	1165	0	0	0	1590	2787	1508	318	0	0	364	60	424	1255	0
Gm12657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift74	0	0	7	216	2	1585	12	1097	0	485	394	559	436	6	438	71	851	484	664	357
Lrrc19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tek	0	2	4	2	9	3	1	1	0	0	91	3	5	0	8	3	3	3	10	8
Eqtn	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm12693	0	226	0	654	315	247	320	219	49	107	218	255	174	147	79	260	153	231	188	271
Mysm1	0	0	0	882	0	807	0	0	796	0	629	586	1375	0	53	0	379	0	309	569
Gm12694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jun	0	573	0	0	0	0	0	250	311	398	990	1230	6	0	660	319	365	134	616	0
Junos	0	475	0	0	4	1	0	0	0	0	0	0	0	0	0	63	0	136	0	11
Gm12708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fggy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
9530080O11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hook1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j13	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Cyp2j12	0	1	0	0	4	13	3	22	0	1	3	0	6	1	1	1	4	11	5	5
Cyp2j11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cyp2j8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1
Cyp2j5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12695	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E130114P18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfia	0	0	0	0	49	10	4	0	1	0	11	199	0	26	1	24	253	37	1743	332
LOC118568676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610025J13Rik	1	3	1	0	1	6	0	0	0	0	0	3	120	1	1	34	19	9	11	5
Tm2d1	0	0	0	695	1372	6	2888	2	0	1026	2	1474	498	0	1244	540	17	1189	1001	267
Patj	1	13	14	33	77	312	30	18	17	34	9	251	25	62	46	25	34	117	59	73
Gm40210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1td1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Kank4	0	0	0	0	0	0	31	0	3	0	0	15	0	0	0	0	3	0	44	0
Kank4os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I0C0044D17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp1	0	2	0	0	0	78	0	0	177	700	117	1136	1153	968	1180	457	67	564	1240	45
Dock7	0	17	8	41	277	138	2	143	23	44	2	95	125	421	366	250	22	785	910	28
Angptl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg4c	0	0	0	0	0	1	0	0	0	0	31	597	0	24	0	0	0	0	0	68
Gm35379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm35537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg6	0	0	0	0	0	1	0	0	0	0	0	0	0	1	274	188	0	1	159	1
Itgb3bp	0	473	1	2591	2	2	2	1	228	0	303	324	2	1	122	292	2	83	197	111
Efcab7	0	2432	8	2	1	0	0	4	504	88	0	9	0	987	375	6	413	348	200	24
Pgm1	0	505	0	1528	0	893	1418	52	0	2153	1193	995	0	377	474	776	1682	1013	1071	670
Gm35701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ror1	0	0	0	0	0	0	0	129	0	0	0	0	0	79	0	12	0	0	30	0
Gm12701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2u	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0
Ube2uos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm46888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cachd1	0	19	1	5	25	18	0	10	151	4	8	142	8	1	0	6	7	21	211	21
Raver2	0	1	1	0	1	0	0	1	1	0	0	11	0	0	36	1	1	0	1	1
Gm35956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jak1	0	545	0	3220	2040	0	1583	0	901	936	2776	1000	1713	1597	303	1538	973	1736	2393	622
Gm24468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E130102H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir101a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	0	1	2	3	0	0	0	0	0	0	51	0	0	0	0	0	0	1	0	8
Ak4	0	0	0	0	0	0	0	0	0	0	0	90	50	200	1	371	1	190	433	1
Dnajc6	0	1	0	976	2209	1	0	0	0	0	811	0	264	0	2	0	0	246	137	51
Gm36012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leprot	0	3170	0	1062	1153	3505	2641	0	709	1328	3158	1636	2251	2330	1940	1753	2734	595	2248	1582
Lepr	0	1	0	0	355	458	0	1	0	0	0	1	3	0	56	115	0	38	34	38
Pramel17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm52666	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0
C130073F10Rik	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	4	0	0	0
Pramel18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12790	0	1	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0	1	0
Gm12789	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde4b	1	3	1	3	26	9	0	17	0	1	2	223	17	2	37	5	5	9	33	49
Gm52669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgip1	0	1	0	0	0	10	0	2	1	0	0	0	0	3	1	0	0	0	0	0
Gm12709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tctex1d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BB031773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Insl5	0	70	41	170	38	1253	12	34	61	21	36	81	138	34	62	53	48	317	49	164
Wdr78	0	2625	0	0	0	133	0	0	0	273	0	265	0	0	34	1	0	0	0	0
Mier1	0	1	0	343	148	1252	249	0	0	767	102	366	105	248	919	425	36	338	308	86
Slc35d1	0	833	0	0	0	51	299	0	0	88	0	80	1	0	241	111	247	0	415	0
4921539E11Rik	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	3	2
4930456L15Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm36523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oma1	0	2	0	1	0	1299	2	0	0	0	1	405	1	66	157	119	1	2	144	0
Gm12718	51	4	2	6	0	2	1	3	1	2	3	2	2	0	3	5	2	2	4	8
Gm25877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dab1	0	3	6	8	5	5	20	2	7	3	4	7	5	7	7	5	6	13	16	13
Gm36661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fyb2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	15	2
Gm40216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkaa2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	9	0
Gm36893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plpp3	0	0	0	0	0	30	1	0	0	2	0	24	0	0	93	228	313	125	0	144
LOC118568679	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm40217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12722	0	2	0	5	0	4	3	0	0	0	0	0	5	0	0	0	0	0	0	0
Gm29922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0
Gm30199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12724	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Usp24	0	82	32	29	145	326	30	97	0	26	1865	43	369	14	1	206	502	420	291	44
Gm40218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcsk9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsnd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568682	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	1
2700068H02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhcr24	0	0	5	0	0	0	0	0	0	455	0	35	0	32	75	245	0	0	68	0
Lexm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	3
Ttc22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pars2	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0	0	0	0	162	0
Ttc4	0	0	0	0	0	460	0	0	0	218	1618	483	576	0	452	765	1418	857	773	41
Mroh7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Fam151a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acot11	0	76	236	76	25	82	15	181	11	68	21	30	30	70	50	82	48	129	82	78
Gm31065	0	6	5	1	3	41	0	1	0	1	0	1	86	1	0	0	3	46	6	3
Gm31125	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52672	0	0	0	0	0	1	0	0	0	0	45	0	0	0	0	2	0	127	0	0
Ssbp3	0	318	5	47	6	708	0	410	299	117	422	640	891	487	391	264	785	177	1035	380
Mrpl37	0	1120	0	883	1	1487	0	2283	687	1584	0	1299	142	271	421	1380	955	1223	1480	937
Cyb5rl	0	0	279	0	0	0	60	0	9	5	0	41	446	363	146	66	373	35	279	0
Cdcp2	0	29	1	2	1	4	0	1	1	2	1	0	0	0	2	0	3	7	1	4
Tceanc2	0	1	0	869	0	801	5	0	436	385	0	1094	601	593	0	378	182	30	146	2
Tmem59	0	20570	4387	13781	13941	5577	5883	2	4414	9555	7453	10939	7963	5138	5024	10677	11135	7232	10596	7801
Ldlrad1	0	14	3	5	10	7	1	12	5	1	8	10	4	13	5	6	3	26	21	26
Lrrc42	0	0	0	57	13	204	2008	1	0	22	1962	775	45	696	310	913	349	792	404	13
Hspb11	0	856	0	0	0	379	1458	0	202	430	227	193	521	616	328	323	339	75	73	115
Dio1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yipf1	0	1156	2	17	0	507	0	0	0	1	662	1470	240	794	198	961	1628	592	1109	810
Ndc1	0	1	0	1757	0	1271	3460	2	1248	2	15	1081	29	0	345	691	1139	1030	1149	23
Glis1	0	3	11	10	13	23	6	25	6	9	10	20	197	11	4	64	63	82	16	127
4930552P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrtb1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
1700047F07Rik	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	1	1	0	2
LOC115486425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12907	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0	2	1	0	1	1
4933424M12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrp8os3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrp8	0	0	3	5	3	36	0	0	2	0	0	10	165	1	106	1	0	6	105	68
Lrp8os2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magoh	0	1738	0	0	1327	0	2393	0	364	1538	405	2616	983	0	799	1894	1678	1892	1278	2374
Czib	0	2090	0	318	0	481	0	0	277	449	288	415	84	474	232	1183	1137	602	677	347
Cpt2	0	0	3591	0	0	305	0	0	0	1101	0	0	799	0	191	166	0	0	89	0
Gm40221	0	0	1	0	7	1	50	0	0	1	0	0	1	0	0	0	0	0	1	14
4930407G08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc1a7	0	4	12	0	2	5	10	49	19	19	3	27	43	9	41	26	11	213	38	102
Podn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scp2	0	7741	1701	2794	0	1858	3773	4115	1919	3126	1162	3733	1712	2564	2459	2511	1568	2593	3898	4280
Mir6397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568683	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0
Echdc2	0	1818	0	761	0	625	0	0	0	272	0	188	922	399	200	329	256	1	265	187
Zyg11a	0	0	197	3	5	5	1	2	0	0	3	1	3	0	2	9	5	26	94	16
LOC118568684	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zyg11b	0	1	53	2	10	261	3617	10	4	58	190	12	98	719	96	211	9	235	416	342
Coa7	0	767	0	1174	0	704	1008	0	7	603	2049	1560	345	32	275	565	182	191	457	432
Gm46889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118568685	0	3	9	21	21	18	10	4	3	8	5	16	9	7	4	14	5	34	22	14
Shisal2a	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm32297	0	3	0	2	2	2	0	0	1	1	0	1	0	0	1	3	0	2	4	2
Gpx7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tut4	0	129	5	69	3	32	4	3	12	501	1	135	300	214	438	411	523	157	402	230
Gm24967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC115490068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prpf38a	0	1538	0	2077	0	802	3989	0	595	1572	852	2570	0	0	478	1131	1150	646	2142	429
Orc1	1	0	0	0	0	631	0	0	0	2	2	1	0	3	0	3	3	5	0	328
Gm12743	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	150	0
Cc2d1b	0	0	0	0	0	0	0	0	100	0	0	0	0	250	221	3	67	131	39	316
Zfyve9	0	3	5	13	3	58	4	7	2	4	3	38	50	18	24	34	90	72	81	19
LOC118567349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btf3l4	0	2252	3614	1209	0	1458	1940	199	697	449	1622	1986	873	2378	1164	1791	733	930	2295	1572
Txndc12	0	1535	232	69	1	1016	1129	887	44	1057	353	1219	583	1070	312	396	993	870	374	310
Kti12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab3b	0	694	0	1754	0	470	1161	0	846	0	21	1382	983	2931	771	1095	131	2014	767	252
8030443G20Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1
Nrd1	0	452	0	4461	0	135	402	0	208	0	0	130	421	648	86	792	908	526	692	218
Mir761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osbpl9	0	0	0	3676	1979	2638	0	0	1117	1061	1293	1898	3240	145	1147	1738	506	1193	1749	11
Gm32581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm46867	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Calr4	0	0	0	2	2	2	0	36	0	0	0	4	36	0	18	3	4	2	2	0
Gm40225	0	0	0	0	1	60	0	0	0	0	0	0	0	16	0	0	0	0	0	0
Eps15	0	2	0	1682	1	4	1	0	1	3	3	1013	1	2	0	819	780	687	180	240
Gm52702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc39a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc39aos1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf11	0	5	2	4	179	6	4216	0	145	1657	195	851	1386	1254	1128	1645	890	841	1640	459
4930522H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
9630013D21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	46	0	292
Cdkn2c	0	3915	0	2105	1556	973	8266	3	463	829	1683	2306	320	1161	601	2756	1724	1902	2189	1429
Faf1	1	393	0	14	1	728	6	0	25	572	641	783	13	357	180	294	803	330	1450	226
Dmrta2os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrta2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	105	0
Gm33070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elavl4	0	0	0	0	0	0	6	4	0	0	0	12	0	0	0	0	0	1	1	1
LOC118568686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agbl4	0	4	21	46	18	45	29	88	10	37	18	42	18	11	146	20	53	254	56	37
Bend5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33192	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	2	4	11
Spata6	0	0	1	4	2	2387	0	0	3	9	2	0	0	0	490	587	878	952	679	0
Slc5a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
