Protein	Protein.ID	Entry.Name	Gene	CtrlA1	CtrlA10	CtrlA11	CtrlA12	CtrlA2	CtrlA3	CtrlA4	CtrlA5	CtrlA6	CtrlA7	CtrlA8	CtrlA9	CtrlB1	CtrlB10	CtrlB11	CtrlB12	CtrlB2	CtrlB3	CtrlB4	CtrlB5	CtrlB6	CtrlB7	CtrlB8	CtrlB9	CtrlC1	CtrlC10	CtrlC11	CtrlC12	CtrlC2	CtrlC3	CtrlC4	CtrlC5	CtrlC6	CtrlC7	CtrlC8	CtrlC9	CtrlD1	CtrlD10	CtrlD11	CtrlD12	CtrlD2	CtrlD3	CtrlD4	CtrlD5	CtrlD6	CtrlD7	CtrlD8	CtrlD9	TrtdA1	TrtdA10	TrtdA12	TrtdA2	TrtdA3	TrtdA4	TrtdA5	TrtdA6	TrtdA7	TrtdA8	TrtdA9	TrtdB1	TrtdB10	TrtdB11	TrtdB12	TrtdB2	TrtdB3	TrtdB4	TrtdB5	TrtdB6	TrtdB7	TrtdB8	TrtdB9	TrtdC1	TrtdC10	TrtdC11	TrtdC12	TrtdC2	TrtdC3	TrtdC4	TrtdC5	TrtdC6	TrtdC7	TrtdC8	TrtdC9	TrtdD1	TrtdD10	TrtdD11	TrtdD12	TrtdD2	TrtdD3	TrtdD4	TrtdD5	TrtdD6	TrtdD7	TrtdD8	TrtdD9	TrtdtA11
sp|P62915|TF2B_MOUSE	P62915	TF2B_MOUSE	Gtf2b	37152.19	27877.824	34765.023	20346.887	18215.127	38347.773	0	0	0	21003.104	0	22266.781	38201.133	29425.85	489324.47	31045.42	32449.074	0	19370.564	23812.924	0	0	22782.11	20288.979	29766.395	0	0	22633.635	9623.57	41110.008	0	0	0	23582.906	0	0	0	0	0	0	35770.902	0	0	0	0	25918.39	41466.824	0	0	62154.582	40449.625	0	39716.137	0	34745.496	0	35457.09	77994.3	0	0	29362.08	53059.61	44077.625	0	0	31837.365	36274.883	60729.4	0	26345.965	52414.9	51480.027	27416.26	49037.49	41589.73	35921.02	33653.176	38165.4	0	36647.793	30687.06	51216.176	30154.16	32698.21	30095.889	0	0	35799.484	0	0	0	44836.434	33663.402	0	46021.125	0
sp|P62918|RL8_MOUSE	P62918	RL8_MOUSE	Rpl8	1461028.8	1269362.5	1630117.5	1095425.9	675132.5	1012973.8	0	1287224	0	892130.7	1111123.4	1245225	1279761.5	1297355	1858665	953607.06	1298045.8	0	890619.44	908747.94	771836.2	1363404.4	1087045.5	1404311.9	832718.8	229500.9	1096446.6	1198002.8	880386.56	910473.75	0	0	0	1125503.6	890850.7	0	203677.47	0	0	0	1249063.4	0	0	0	0	1100109.6	1518910.2	644876.25	0	2644905	1928393.9	982302.94	1484195.1	0	1802218.9	1487946.8	2173480	2287206	1698176.4	2414226.8	1359587.1	2464399	2502011	94507.41	287864.97	1630003.2	1610272.1	2310985.5	1820876.2	891867.6	1913750.6	1741586.6	1325153.6	1722605.1	1872683.2	1506909.1	1318224.5	2121387	1153571.1	1677986.6	2006633.4	2367429.2	2093119.6	1070457.1	1568608	276876.28	184351.69	1467649	0	143664.72	157203.48	2287903.2	1229372.8	1512702.1	1767915.4	616623.3
sp|P62960|YBOX1_MOUSE	P62960	YBOX1_MOUSE	Ybx1	753723.9	627521.25	800052.5	423294.7	357486.6	539317.6	0	622218.4	0	470343.2	530381.44	623251.75	588540.7	673043	956579.2	651681.06	646145.06	0	333888.03	443786.25	292360.62	592924.25	383329.2	619862.1	397143.56	0	538615.06	673635.06	567918.9	375937.44	0	0	0	505337.2	354846.22	0	68021.04	0	0	0	802083.75	0	0	0	0	514831.62	922267.8	327639.12	0	1426664.9	1095828.5	499034.4	764995.6	0	980810	783572	1193406.9	1346133.4	1158942.9	1158734.1	861037.44	1517639.5	1381507.1	37068.684	92407.734	874937.75	909007.25	1070177.8	1040179.5	499726.38	1168981.6	930514.9	972229.5	988968.3	1288256.9	867327.75	670496.8	1184838.1	665732.2	925467.56	1059350	1216729.8	1136012.5	578710.7	803588.4	120714.19	75002.734	920244.9	0	56614.496	57630.105	1301779.4	665273.2	844034.25	896485.5	276394.12
sp|P62962|PROF1_MOUSE	P62962	PROF1_MOUSE	Pfn1	2546903.5	2029583.9	2549786.8	1511146.8	1310481.8	2707692.2	0	2197827.5	0	1845098.2	1628716.4	1895410.5	1946629.4	2371218.5	3232990.2	1659932	2442910.8	0	1607373	1729668.4	984305.5	1668109.6	1935486.2	1681990.8	1358005.6	0	1805011.1	2028805.4	1877355.5	1624353.8	0	0	0	1890057.4	1274433.4	0	240290.84	0	0	0	2529640	0	0	0	0	1696690.4	3058656.8	1118454	0	4983431	3147157	188609.98	2740714	0	3049694.5	2979114.5	4102089	3906559.8	3286245.8	5444219	3116342	4270180	4763450	119896.61	622574.56	2693673.8	3153460	4414435.5	2797307.8	1611261.4	2968611.8	2566209.2	2130614.8	2803489.5	4230294.5	2703161.8	2450418.2	3238212.5	1954419.5	2699290.2	2590865.8	3742655.2	2768416.5	2718227.2	1810754.8	710277.2	317133.78	2952067.2	0	231105.64	230138.08	3586887.2	2623587.8	2624881	2870520	269144
sp|P62983|RS27A_MOUSE	P62983	RS27A_MOUSE	Rps27a	2990957	2187003	2686893.2	1590582.6	1647095.9	2257997.2	0	2256520.2	0	1720029.2	1835853.4	2408083.8	2342170.8	2560344.8	3591661.2	2122951	2588134.8	161924.19	1388825.1	1959922.2	1369923.8	2448733	2080482	2077335.8	1723069.1	0	2159846	2448185	1864482.5	1813483.5	0	0	0	2359162	1595927.6	0	391637.3	0	0	0	2856670	0	0	0	0	2120893	3437933.2	1471452	271659.22	5396752.5	4162464	1412191.8	3536926	0	3834162.8	3560950	3895756.5	4550114	4700479.5	4827580	3486866.2	4651397.5	4478014.5	155684.23	433838.94	3258009.8	3334654	4788757	3427580	2972423.2	4070965.5	3734672.8	3352936.5	3697797.5	4317120.5	3266127.2	2995137	4037028.8	2909106.2	3512338	3899368.2	5163024	3528017.5	3207491.5	2797862.5	503121.66	389875.28	3253914	0	211977.12	360078.03	4137796	2947377.5	11000000	3539904	998879.8
sp|P62996|TRA2B_MOUSE	P62996	TRA2B_MOUSE	Tra2b	458233.1	371495.4	445508.38	304461.47	248879.75	376456.38	0	381940.7	0	402824.44	290912.47	374290.66	369133.47	384626.72	618282.44	357311.28	354694.38	0	201569.66	325867.47	268190.47	363080.5	339714.22	344983.16	308703	0	319094.2	439806.7	392743.94	242268.89	0	0	0	381735.56	319731.9	0	601940.1	0	0	0	473741.97	0	0	0	0	388388.97	506777.9	215766.4	0	819634.06	857312.75	468353.53	562571.56	0	629163.75	652624.8	754443.9	882954.1	717582.6	671596.9	585027.1	739355.8	745261	29821.916	101317.01	550439.56	601891.9	784382.44	697631.1	495837.94	698802.6	631598.5	679470.2	688770.25	689500.75	572595	483222.5	674898.7	517867.84	598917.44	762676.6	909614.7	617230.9	562070	559828.9	68999.305	82145.32	576780.9	0	49819.21	69654.8	850305.2	628592.2	1130432.5	606855.75	556582.5
sp|P63001|RAC1_MOUSE	P63001	RAC1_MOUSE	Rac1	114521.914	92636.414	134195.12	62651.176	37755.836	142964.39	0	94979.62	0	70313.73	112750.984	94394.95	106916.32	116558.73	62901.664	108978.42	183892.53	0	106096.766	94028.125	74561.195	111267.14	124292.695	131111.31	68131.375	0	97329.555	118831.56	62340.438	80741.69	0	0	0	120827.74	91376.47	0	0	0	0	0	171704.28	0	0	0	0	105576.22	157721.55	64514.797	0	360242.22	237382.25	89737.81	262259.84	0	268590.88	322582.16	377203.75	382630.16	362039.9	418523.56	357242.72	390263.38	330092.84	0	304178.06	316437.16	325741.44	411176.56	282992.56	220833.12	288232.56	365459.16	295548.62	299013.47	318838.2	267514.56	273582.16	380701.1	218860.81	263635.06	361313.88	438882.25	283386.34	203351.81	165894.39	33224.05	192292.64	262111.84	0	0	163120.58	238474.98	292807.22	256652.38	270346.34	183513.03
sp|P63005|LIS1_MOUSE	P63005	LIS1_MOUSE	Pafah1b1	104361.72	87832.51	121472.93	73213.61	66728.12	107193.88	0	90610.51	0	74387.13	81821.49	88141.78	88763.625	105186.766	187880.69	86370.63	105081.6	0	90440.984	85185.164	50090.656	95781.42	96211.9	82312.56	84380.18	0	105598.1	92469.375	105603.48	76584.01	0	0	0	96714.55	71899.8	0	0	0	0	0	98697.27	0	0	0	0	80606.71	138611.36	70169.81	0	198833.61	155335.52	59773.23	114113.44	0	172633.28	125043.99	185195.1	188235.67	170492.84	222862.48	149761.25	230357.1	192403.17	0	43746.62	146251.5	149946.58	174185.7	157636.39	130495.016	179127.95	142466.28	149009.52	170053.84	187327.88	147246.98	126538.92	173803.47	102406.47	148898.08	146195.12	228896.55	137653.39	123966.61	166195.2	42382.312	20666.191	157939.55	0	31847.045	0	183286.62	122816.516	267367.3	188564.67	36143.746
sp|P63017|HSP7C_MOUSE	P63017	HSP7C_MOUSE	Hspa8	8763604	6719623	6871352.5	4520087.5	4654802.5	6221800	783694.7	6632757.5	0	5317008	6736380.5	7682224.5	5579541.5	6688881.5	12900000	5573623.5	7843053	259901.92	7247757.5	5904500	4124760	7238462	5253295	7434184	5942707.5	20700000	6369674	7026137	6607789.5	5082364	17100000	19500000	516367.9	7676481	4646511	41800000	1419924	33700000	0	199086.58	8875317	213977.28	0	0	0	6540669	10200000	4764669.5	0	17500000	16900000	4980212	10900000	209597.23	10800000	12600000	14900000	13200000	12200000	20800000	10100000	18300000	17500000	426634.66	2118260.5	12300000	13000000	19200000	9368062	7741530	13400000	11500000	8815430	10700000	11600000	11500000	8707071	14200000	6542017	13000000	13200000	15900000	13800000	9784976	12000000	2401859.2	1485494.4	9687833	0	1260753.4	764469.9	17500000	10100000	16000000	14100000	1331237.2
sp|P63024|VAMP3_MOUSE	P63024	VAMP3_MOUSE	Vamp3	139790.8	102701.266	164816.7	89204.18	57649.055	106916.19	0	107643.03	0	96447.89	72686.56	118334.99	113483.484	97404.51	208239.38	86465.18	103387.68	0	93798.66	74030.5	51027.92	77299.39	36825.71	90531.55	133636	0	87878.2	157877.28	99421.58	44793.99	0	0	0	86638.13	74773.47	0	0	0	0	0	104306.14	0	0	0	0	74442.94	155068.52	72397.33	0	239420.95	164122.03	80033.88	104647.55	0	0	79049.25	221563.61	271174.1	206132.64	224627.7	110168.28	292247.53	251687.44	0	158340.84	112416.5	129519.83	165235.2	102843.016	67901.58	174570.14	103704.04	84393.555	137278.86	179995.84	97699.16	126098.54	155480.1	61310.484	100447.305	139957.45	144359.22	111570.35	125428.85	134855.08	44457.176	203195.14	125672.17	0	14717.835	0	173685.55	97093.27	0	123234.14	179132.89
sp|P63028|TCTP_MOUSE	P63028	TCTP_MOUSE	Tpt1	1869831.5	2116543.8	2167086.8	1410633.1	1804030.9	2591272.8	0	2226617	0	1575401	1859914.5	2823047	2245258.5	2664795.2	4556936.5	1876213.9	2647665	0	1690311.2	1738577.1	1182038.2	2136995.2	1269858.4	2330136	1643859.1	0	2308926.8	2527897.8	2126700	1118784.4	0	0	0	2085610.6	1579434	0	283916	0	0	0	3084684	0	0	0	0	1857991.4	2965507.2	1147130.6	0	3760723.8	3361449.8	149011.45	1400277.5	0	2347341	2270507	2431454	3361595	2603012.2	3150598.8	1473259.5	2300711.5	3407371	96162.16	294354.3	1655824.1	1947654	2744956.5	2368409.5	1386446.8	2043990.9	1814326.5	1043736.94	1722634.8	2611316.2	1559905.4	1288556.5	2364795.8	961050.2	2251518.2	2199211	2884236	2016226.1	1124658.1	1553882	398997.9	130461.266	2091399.6	0	119974.78	82202.41	3521915.5	1357212.6	2087827.5	2358906	64240.4
sp|P63037|DNJA1_MOUSE	P63037	DNJA1_MOUSE	Dnaja1	344791.84	220836.4	301633.88	191825.86	147916.64	261682.17	0	203932.16	0	146699.31	189298.86	218941.73	277813.03	276557	297236.75	212548.12	322461.28	0	205583.23	161470.66	187743.69	202506.72	209629.62	214760.14	177078.16	0	216239.17	239932.27	201458.88	165192.45	0	0	0	206355.8	155295.2	0	39162.242	0	0	0	274558.2	0	0	0	0	192105.84	293962.06	172935.27	0	649413.8	439647.84	128519.21	309581.75	0	491635.34	539672.4	526433.56	455132.5	661058.2	506279.44	359835.28	593070.06	660800.9	46163.816	76329.46	431691.8	386645.06	497296.38	292574.9	350975.94	529608.2	497805.28	449317.75	397077.66	628816.2	394686.4	413235.84	461459.1	330587.03	364409.78	343201.7	472571.72	491760.2	268291.72	355467	71372.195	59851.25	365633.44	0	32705.53	41436.14	622936.2	248995.88	422006.84	411370.06	41992.305
sp|P63038|CH60_MOUSE	P63038	CH60_MOUSE	Hspd1	3194640	2352400	2636299.2	1813603.9	1345926.8	2315430.8	0	2785465.8	0	1777984.9	1745336.1	2730606.5	2457302	2707365	3568124	2445107.5	3428946	374896.78	2900850.5	2312322.5	1710576	2712909.8	2020771.5	2828933	1942409.5	0	2419384	2575225.2	2087992.2	1236097.5	0	0	245411.28	1801324.9	1807380.1	0	84933.98	0	0	0	3272454	0	0	0	0	2092443.8	3438457.2	1991961.1	311007.72	8537651	6419711.5	4109380.5	3577676.2	0	5870345.5	4468686	5512390	8244223	5293033.5	9897890	4167101.2	6212170	7641820	93274.414	8024967	5203579	4125702.5	8324866	5029191	3715419	4306966.5	4558383	4557946.5	4568632	6435463	3820207	3938602.5	5594810.5	3442632	5519592.5	3826272.8	6418301.5	6153975.5	3951912.5	4226752.5	568781.2	11700000	3864624.5	273433.9	305791.75	9693208	6770962	4051700.8	4220347	4756953.5	8073145
sp|P63073|IF4E_MOUSE	P63073	IF4E_MOUSE	Eif4e	232679.75	174749.97	246676.92	160311.55	122590.76	242338.88	0	178061.94	0	156418.61	152318.53	216570.23	175040.1	190036.81	301154.34	189429.77	247644.92	0	163287.56	146566.7	107322.05	195507.81	191064.83	227820.12	124182.945	0	182238.14	196042.58	146595.7	123194.875	0	0	0	175929.7	111864.72	0	47813.543	0	0	0	219846.97	0	0	0	0	156675.38	250777.14	135736.77	0	498711.75	349292.25	147835.16	318927.66	0	352702.38	314920.28	445974.28	460611.88	456456.06	455747.6	312695.75	430773.9	434854.4	149170.39	34618.434	330501	271756.97	446889.3	356152.62	247785.89	402235.03	322382.75	313768.44	383106.62	406946.62	313630.8	235606.78	424349.8	273287	346732.47	366129.47	491977.53	394526.62	291582.78	277914.2	51218.652	30539.273	323181.28	0	0	0	409328.88	271541.94	313929.44	323807.5	54180.06
sp|P63085|MK01_MOUSE	P63085	MK01_MOUSE	Mapk1	184793.56	139032.55	130720.61	106483.766	97624.17	191740.81	0	168056.14	0	115377.46	121972.48	171243.08	166848.5	171463.72	155274.39	160382.73	192245.1	0	149361.95	135163.86	108125.93	156204.89	145959.45	146099.2	132575.97	0	147069.08	160584.3	114473.445	83128.02	0	0	0	150644.47	91330.336	0	18014.662	0	0	0	174990.66	0	0	0	0	134111.84	204629.6	117056.39	0	301973.4	258653.78	52884.777	231892.62	0	254301.16	245159.05	304559.62	339956.5	258959.31	362529.28	244783.31	376231	335537.2	0	69476.38	271831.84	203928.47	339360	226830.28	237291.89	232813.28	242795.72	274785.28	272447.4	282533.44	254010.77	209363.56	309385.34	175100.52	246858.56	294840.4	386010.56	241486.12	261495.9	199813.84	50386.645	0	267492.16	0	0	23459.82	328408.34	235158.16	285346.03	294128.75	79862.38
sp|P63087|PP1G_MOUSE	P63087	PP1G_MOUSE	Ppp1cc	0	136606.42	118780.72	0	96676.28	125014.79	0	75855.95	0	130665.336	66518	0	134334.2	128018.75	128414.32	140781.58	149556.75	0	86522.86	137199.27	0	101648.484	144137.34	98536.92	0	0	105135.22	112615.945	0	65413.9	0	0	0	0	43889.45	0	0	0	0	0	133737.86	0	0	0	0	76781.62	200261.95	75254.31	0	256224.98	280241.88	83547.09	209809.94	0	230418.16	207288.25	189247.88	257157.78	0	181554.39	165522.56	259067.64	256801.7	0	229327.64	148518.84	226846.53	193701.52	154622.31	0	0	198604.3	277933.75	190440.95	181395.27	245346.8	202950.58	275530.6	160202.17	132104.62	146755.53	378462.16	183790.88	181607.4	131036.2	0	275939.94	184023.97	0	0	0	242723.47	224318.5	0	146094.6	0
sp|P63094|GNAS2_MOUSE	P63094	GNAS2_MOUSE	Gnas	45153.38	45155.613	59741.832	38362.43	40332.168	58042.652	0	40267.59	0	33390.062	39493.77	50868.637	45273.746	42985.848	83672.266	49693.926	53391.97	0	46133.527	30533.086	25511.08	31561.398	42131.3	41050.387	55929.914	0	63645.016	37453.375	46827.07	36259.414	0	0	0	48349.133	31812.32	0	26390.78	0	0	0	52276.766	0	0	0	0	43900.508	58195.31	22573.512	0	115892.45	116747.695	72610	86151.586	0	63001.816	82405.24	122300.13	117178.18	111869.43	140339.81	119955.125	160285.86	118112.95	0	211933.94	77224.07	79955.84	134876.72	85577.97	86178.41	97753.66	63490.52	77649.13	115207.42	108440.445	81323.04	65729.984	95050.84	58490.305	73915.87	78154.016	120996.48	64595.36	73447.25	92832.9	0	185490.12	84803.74	0	0	105185.36	92501.79	91962.195	264017.28	119546.055	142940.84
sp|P63101|1433Z_MOUSE	P63101	1433Z_MOUSE	Ywhaz	5570090	4908276	6981636	4084005	3238039.8	5298194.5	0	4418920	0	4272027	4292592	5510950.5	5030238.5	5435862	7975294	4541096	5802176	183547.03	4158707	3477680.2	2816577	4473576	4571053	6021142.5	4126842.8	0	5105924.5	5358489	4579795	2793622.8	0	197177.75	0	5074067	3507100.5	0	756331.2	0	0	0	6804169	243663.25	0	0	0	4570407.5	8215021.5	3184621.5	0	17100000	12400000	1009188.7	6508063.5	0	7786773	7908247	11100000	12800000	11000000	15400000	8559681	13500000	14400000	287682.06	1505765.8	7894306	8209994	12800000	7935515	5014055	10500000	8902240	6200577	9406388	12100000	7536670.5	6088996.5	9064882	5995097	8021580	9217220	12800000	8620595	6609595	6710794	1831778	772837.9	8519760	0	696790.5	409220.5	13600000	5454163	10300000	8949337	558122.1
sp|P63154|CRNL1_MOUSE	P63154	CRNL1_MOUSE	Crnkl1	44337.523	33774.32	0	0	22953.748	0	0	0	0	20022.38	0	30936.434	0	0	39901.883	0	0	0	0	0	0	0	39094.305	0	0	0	0	29023.45	0	23905.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42478.973	0	0	68007.03	0	0	53521.047	0	86567.93	0	52973.33	71911.07	0	0	51274.07	42867.11	59823.242	0	0	50086.754	38115.48	69939.625	0	0	61018.89	49692.973	46924.918	49838.547	58900.02	67201.8	0	0	50483.152	42497	57396.92	60037.37	55611.062	58079.215	46693.54	0	0	44220.83	0	0	0	61093.863	55551.25	0	0	0
sp|P63158|HMGB1_MOUSE	P63158	HMGB1_MOUSE	Hmgb1	486126.7	333102.7	298081.6	303532.5	253078.56	332524	0	329269.06	0	294849.84	272060.75	297410.7	404109.78	393922.28	662527	424610.8	414073.84	0	368368.4	309993.03	240996.42	368779.4	382204.66	321889.25	320994.44	0	288048.47	375755.97	311420.66	356276.38	0	0	0	442167.28	287010.4	0	48462.34	0	0	0	449450.12	0	0	0	0	304350.06	460810.7	239793.84	0	1030217.1	686019.9	169595.2	609500.7	0	711480.25	760817.1	860391.7	798823.5	664730.6	819301	634064.5	811051.3	782109.25	67885.84	43745.53	757839.25	557928	1243383.9	767830.44	436526.97	707426.4	742420.4	666525.1	778370.06	766006.4	747136	591562.6	754196.8	487572.44	712094.44	785378.25	1000516.6	846094.7	811013	612683.7	122683.55	74270.69	742652.75	0	65232.668	78366.25	874585.6	792076.75	613996.4	586049.4	100388.92
sp|P63163|RSMN_MOUSE	P63163	RSMN_MOUSE	Snrpn	199043.6	131090.22	200012.4	128087.09	99143.305	166313.34	0	131483.27	0	116679.2	108262.17	118480.414	177663.81	174990.67	226062.98	149631.78	190997.08	0	93912.3	105120.86	102122.6	150105.3	172415.97	131053.69	193284.72	0	136213.73	184141.5	110120.11	118800.914	0	0	0	121175.16	124768.49	0	26292.582	0	0	0	203089.9	0	0	0	0	138895.11	184407.1	132859.62	0	319571.72	333027.03	236257.38	264294.25	0	253615.39	278186.47	252700.17	305783.44	292913.03	295418.8	270452.7	314684.4	301954.7	0	0	264763.3	261463.5	283581.78	262002.97	242030.55	272913.75	321348.38	277682.75	331370	302445.28	272883.94	216644.75	288837.56	210409.83	255543.1	277238.28	370314.22	284384.25	263138.1	188957.31	22429.312	19861.166	262432.47	0	20176.305	17878.92	320205.75	232399.1	371326.38	178383.2	139245.27
sp|P63165|SUMO1_HUMAN	P63165	SUMO1_HUMAN	SUMO1	66676.11	65397.22	45856.793	58073.49	26073.371	38791.09	0	39457.336	0	38927.723	57980.098	73215.86	65747.29	41113.207	76427.3	30034.803	48918.39	0	87481.586	66274.48	37368.14	77797.945	48968.277	60013.656	30691.994	0	65946.32	26551.418	32609.701	48499.14	0	0	0	41144.234	49915.22	0	0	0	0	0	59397.918	0	0	0	0	61369.3	96497.46	42558.188	0	155151.56	107807.82	37946.184	81890.06	0	89712.25	124115.91	82121.59	130652.27	142016.64	159347.55	86206.26	161806.98	133499.45	0	86726.086	100047.55	130216.875	139378.38	71972.29	45509.652	118610.05	85718.83	71370.914	76471.086	113555.65	73140.19	111862.78	184367.5	74256.08	114742.77	59346.56	149478.42	148890.17	124480	105610.945	0	49358.703	79278.875	0	0	216322.81	106336.414	108593.11	0	89104	408654.88
sp|P63168|DYL1_MOUSE	P63168	DYL1_MOUSE	Dynll1	102492.24	101544.375	149439.22	79211.6	57807.754	80920.24	0	79859.41	0	77325.016	109325.32	85671.55	93728.94	78381.19	170485.44	68181.5	145929.66	0	39951.973	63357.332	41616.258	69250.89	81448.88	97394.37	85956.914	0	69712.78	90594.305	39565.07	51015.254	0	0	0	107761.555	70916.305	0	0	0	0	0	98532.04	0	0	0	0	74519.09	159592.83	65448.29	0	359042.1	220260.12	118973.836	180632.58	0	171067.27	177324.75	372598.47	260023.27	321714.28	314626.34	157259.23	340996.75	435946.5	0	0	198191.25	202071.25	343622.44	157441.56	145802.5	276169.16	172115.31	168980.27	186673.45	265552.2	180106.17	121240.27	271142.4	104476.81	192783.81	172879.94	301713.12	279546.34	140721.3	225986.69	26289.959	18750.658	176341.2	0	11951.13	0	216971.61	179060.2	192168.12	235424.06	30539.234
sp|P63242|IF5A1_MOUSE	P63242	IF5A1_MOUSE	Eif5a	3021130.8	1997884	2445402.5	1415668.5	1329849.8	2480629.8	0	2153385.2	0	1803576.4	1829845.9	1513642.9	2376005.8	2273437.2	2775111.8	1741738.2	2757835.2	0	2719438.2	1663026	1397680.4	2088726.6	1880437	1627527.4	1811176.2	0	1663281.6	2269539.5	1750147.6	1675188.5	0	0	0	1787624.9	1181113.4	0	329063.88	0	0	0	2650436	0	0	0	0	1876420.9	2688471.2	1526828.9	0	4553044.5	3285948	283105.62	2577851.2	0	3527167.8	2810237.2	3164580.5	3599369	3079432.5	4014346.2	2729263.2	3782335	3941457.8	131521.89	468265.6	3119945	2653302.2	4065792	3235865.5	2132135.8	3078215.2	3322010	2909786.5	3173527.8	3618026.8	2699525	2620750.5	3791540.5	2431609.2	3315883.2	2306593.2	4043944.2	3508641.5	3007996.2	1896746.6	565852.1	250500.58	3122126.8	0	206695.88	203340.4	3263357	2298562.5	3045433.2	2801795.5	173406.67
sp|P63254|CRIP1_MOUSE	P63254	CRIP1_MOUSE	Crip1	202291.05	132040.17	236281.52	324419.12	246541.27	898376.56	0	324867	0	263776.72	571087.56	323623.1	501126.97	218653.47	269460.47	204337.89	369959.62	0	173352.89	342214.8	181601.06	455267.66	181140.23	349225.94	383774.12	0	412317.5	295313.88	227180.81	158155.58	0	0	0	335165.34	290128.5	0	148794.19	0	0	0	331477.88	0	0	0	0	174618.4	418883.3	96326.6	0	1572769.1	641845.4	51016.707	676863.25	0	968750.1	1625849.1	2911586	2719350.8	1274637.9	1410619.9	361087.66	1163288	1743220.9	66337.2	90240.31	525597.8	318230	1240853.9	1110846.2	966492.6	2278744	977842.6	624088	577581.4	844222.1	1157567.1	734370.5	1127342.4	280928.88	631155.25	510323.53	1396544	555270.2	384575.88	456569.3	170352.14	101971.46	1234620.4	0	0	163105.62	777799.2	525683.75	0	1268842.9	92420.69
sp|P63260|ACTG_MOUSE	P63260	ACTG_MOUSE	Actg1	30800000	24200000	30300000	18300000	16300000	38000000	498764.4	25000000	461721.6	20400000	21600000	30700000	23100000	26500000	37200000	19800000	30700000	570365.1	17600000	18700000	9896044	20800000	18300000	24800000	19600000	490102.47	21000000	21500000	25300000	17300000	561432	479171.06	481655.75	24000000	14600000	673929.1	2566819.5	642437.9	512821	539331.8	34300000	1072637	444193.1	532658.6	464377.66	21000000	36700000	13800000	500266.06	67700000	49200000	19800000	31900000	594088.3	37900000	33000000	56600000	62700000	50000000	91200000	37200000	73800000	63200000	1134175.2	42200000	32800000	40900000	62300000	35800000	20900000	43000000	34400000	28600000	44100000	60100000	34200000	31500000	50500000	25300000	34100000	43500000	51900000	30800000	35100000	39400000	7475426.5	51100000	37300000	690360	2890380.8	27800000	57900000	33500000	31800000	50800000	43000000
sp|P63271|SPT4A_MOUSE	P63271	SPT4A_MOUSE	Supt4h1a	64763.676	50191.906	52803.25	37186.727	27785.885	59586.062	0	41803.53	0	32594.39	41068.434	46737.7	48447	53058.688	61067.855	60902.22	55400.703	0	28753.781	32607.361	36081.613	45967.59	60447.58	50098.637	36558.668	0	35217	57392.297	43447.99	36486.83	0	0	0	42325.99	30312.941	0	0	0	0	0	60653.285	0	0	0	0	47099.36	94962.984	27960.184	0	101901.89	87230.42	75052.2	92895.96	0	123322.45	98043.46	133971.16	112722.164	126298.75	73842.81	111865.195	142040.6	130749.73	0	0	123162.234	96071.695	127799.74	125972.02	100711.875	140815.64	106382.01	103790.72	98821.54	121785.18	114800.125	85792.88	111617.836	91338.22	86418.17	97025.13	158514.78	124317.15	89557.23	96859.586	0	0	120054.41	0	0	0	112930.26	113952.94	0	97079.59	32528.12
sp|P63276|RS17_MOUSE	P63276	RS17_MOUSE	Rps17	1019620.1	1045789.7	1040760	690681.5	458184.88	1072477.4	0	1072364.5	0	757422.44	839586.2	1275330.1	1086407.9	1239993.1	1431626.1	918567.25	1204537.8	0	748315.8	850662.44	573143.2	1403043.8	1000130.4	1099844.8	1067708	0	1067970.6	1219574.8	780397.75	511786.4	0	0	0	962014.9	598706	0	118202.96	0	0	0	1382017.5	0	0	0	0	928162.4	1466265.6	499358.28	0	3078642.2	2050535.5	635748.75	1556471.5	0	1918884.8	1671555.9	2277261	2673017.2	2101414.2	2702295.8	2068480	2466068.2	2231526.5	0	274251.56	1779950.2	1668594.4	2844229.2	1946965.2	850043.2	1918401.9	2136125.5	1459452.6	2023010.6	2180427.5	1476804.5	1535169.6	2381309.5	1233532.8	1613607.9	2255345.5	2345798	2112268.2	1090002.4	1190266.5	198074.03	0	1502716	0	90360.266	103495.09	2787534.5	1475798.9	1677008.4	1734021.6	375124.25
sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	196112.6	122230.12	170184.53	135322.11	97197.5	239788.17	0	182928	0	97131.15	84989.39	153945.44	186570.38	204341.75	239367.78	193045.14	168169.69	0	114791.86	131876.16	96843.39	177740.95	160663.25	145212.89	140895.95	0	181202.23	194390.1	175357.16	98189.38	0	0	0	132915.64	90166.97	0	0	0	0	0	216692.88	0	0	0	0	125536.9	181100.52	108510.29	0	428566.78	287683.03	38132.03	277053.03	0	354673.8	342943.5	263369.88	414264.8	304184.34	363699.44	330928.4	377346.22	302662.8	0	0	268977.03	247727.8	444660.9	343086.94	218170.5	276752.12	297966.6	260111.64	253517.66	333907.3	281744.16	302872.16	309632.2	239619.39	232285.56	320633.62	390408.22	248681.66	343706.34	245730.25	0	0	252400.92	0	0	0	369272.1	265616.88	280722.9	268832.97	0
